Gene_name,Ensmbl,Hevin_logFC,Hevin_logCPM,Hevin_F,Hevin_PValue,Hevin_adjP,LPS_logFC,LPS_logCPM,LPS_F,LPS_PValue,LPS_adjP
1-Mar,None,0.026588532,4.116102881,0.003873742,0.951365997,0.982096618,2.211486207,4.116102881,25.88382828,0.000242626,0.002361465
2-Mar,None,0.282810351,4.41853624,6.584198862,0.024228121,0.141771068,-0.168776671,4.41853624,2.306583148,0.153949644,0.307033283
2-Mar,None,0.331264204,4.46857751,7.807386957,0.015811287,0.106786775,-0.187854215,4.46857751,2.470623967,0.141193483,0.288518049
3-Mar,None,2.196715892,2.086368311,82.27002039,8.04E-07,8.81E-05,0.694890889,2.086368311,8.1676122,0.01402693,0.051767916
4-Mar,None,1.704946103,-0.648970377,6.012062938,0.029935947,0.161844768,1.233929106,-0.648970377,3.03453344,0.106282348,0.234967819
5-Mar,None,0.189094407,5.549613341,1.479768856,0.246499741,0.558049624,0.721784086,5.549613341,21.46086453,0.000532765,0.004219579
6-Mar,None,0.020260807,6.976953562,0.092755518,0.765763026,0.908815726,-0.078877281,6.976953562,1.40140075,0.258726261,0.440479869
7-Mar,None,-0.197262702,7.88595688,8.036096846,0.014649475,0.102166911,0.292191751,7.88595688,17.62299027,0.001157489,0.007557574
8-Mar,None,0.031589794,7.180836886,0.154081132,0.701341454,0.88241506,-0.072287277,7.180836886,0.804461288,0.38687587,0.574036941
9-Mar,None,-0.106140635,1.533547267,0.143422889,0.711317923,0.886307784,-0.226398476,1.533547267,0.638269065,0.439400282,0.623896056
1-Sep,None,-0.0696183,-1.02837721,0.011863016,0.915013852,0.968075601,0.192237652,-1.02837721,0.090598855,0.768413789,0.869736507
2-Sep,None,-0.080075757,8.10809225,1.029679245,0.329659931,0.640248801,0.210254151,8.10809225,7.092025156,0.02021331,0.067901784
3-Sep,None,-0.232265306,1.648986207,0.164408038,0.692051474,0.877900176,0.40239878,1.648986207,0.498714592,0.493144867,0.670116608
4-Sep,None,-0.013139467,0.636543224,0.000482834,0.98281939,0.993358826,0.185419198,0.636543224,0.094606486,0.763514888,0.866417199
5-Sep,None,-0.446061744,3.181810494,2.012387618,0.180705835,0.475333492,0.00942157,3.181810494,0.000899191,0.976555923,0.990847695
6-Sep,None,0.064485701,2.963741185,0.215713872,0.650388854,0.859136799,-0.082376291,2.963741185,0.345511943,0.56723473,0.730856741
7-Sep,None,-0.366145469,8.334518667,19.15284925,0.000839432,0.013902259,0.053813716,8.334518667,0.415434852,0.530988229,0.702173503
8-Sep,None,-0.251164222,6.879878339,8.181946943,0.013960973,0.099038976,-0.595833806,6.879878339,45.46641748,1.77E-05,0.00032722
9-Sep,None,0.201014019,6.538297242,1.276704695,0.279934266,0.592938697,0.487268089,6.538297242,7.460723243,0.017785933,0.061724402
10-Sep,None,0.417328828,3.360718352,7.980720203,0.014921294,0.103061119,-0.00563673,3.360718352,0.001430326,0.970434635,0.989141317
11-Sep,None,-0.498314782,9.069333056,40.47007448,3.12E-05,0.001305344,1.39060926,9.069333056,305.878125,4.24E-10,1.28E-07
15-Sep,None,0.092388391,6.752344153,1.193738081,0.295386741,0.609402575,-0.093047682,6.752344153,1.206533874,0.292927654,0.478965047
0610007P14Rik,None,0.130022307,2.473080214,0.253176204,0.623681712,0.846458444,-0.762825055,2.473080214,8.105969075,0.014314769,0.052510359
0610009B22Rik,ENSMUSG00000007777,0.172455581,2.038809666,0.997853622,0.336959603,0.646914389,-0.288357516,2.038809666,2.704196902,0.125226714,0.264451416
0610009L18Rik,ENSMUSG00000043644,-0.459009559,-0.607993624,0.995512366,0.337505796,0.647424985,0.114723483,-0.607993624,0.060707256,0.809420429,0.895926198
0610009O20Rik,None,0.110497288,3.909286142,1.22361713,0.289688741,0.604356382,-0.729910035,3.909286142,51.34046832,9.61E-06,0.000206683
0610010F05Rik,None,-0.037634046,4.930100653,0.156202735,0.699403846,0.881381367,-0.045502846,4.930100653,0.226718947,0.642262187,0.784010617
0610010K14Rik,ENSMUSG00000020831,0.036365241,3.962743181,0.029585822,0.866213754,0.950110447,-0.132459829,3.962743181,0.387072305,0.545133079,0.713931379
0610011F06Rik,None,-0.584744746,0.126118031,1.380018125,0.262203869,0.575444715,-0.804224097,0.126118031,2.514687595,0.13799504,0.283776818
0610012G03Rik,ENSMUSG00000107002,-0.068822031,3.790265626,0.180803684,0.677982634,0.870563046,-0.633519544,3.790265626,14.80154715,0.002198301,0.012433096
0610030E20Rik,ENSMUSG00000058706,-0.10994345,6.433095477,1.58787533,0.230870251,0.540578793,-0.119972935,6.433095477,1.882432791,0.194413403,0.362605197
0610037L13Rik,None,-0.193609783,3.894991045,2.778539687,0.120621069,0.375878785,-0.141973435,3.894991045,1.483141211,0.245991189,0.425271416
0610038B21Rik,ENSMUSG00000097882,-0.795318459,-0.636768238,1.564892361,0.234080215,0.544000182,0.375034652,-0.636768238,0.362432043,0.558026036,0.72449769
0610040J01Rik,ENSMUSG00000060512,0.477417064,2.805818544,4.09436532,0.065170756,0.262433665,-0.678621839,2.805818544,7.828405925,0.015700099,0.056258042
1110001J03Rik,None,-0.398122221,-0.238440435,0.276573148,0.608250233,0.838188651,-0.009913358,-0.238440435,0.000157622,0.990183129,0.99619756
1110002L01Rik,ENSMUSG00000071456,0.079583786,0.732067639,0.074346901,0.789605589,0.917836218,-0.09842743,0.732067639,0.110097479,0.745584399,0.855560046
1110004E09Rik,None,0.111308165,1.249649895,0.152788467,0.70252964,0.883184225,-0.129987805,1.249649895,0.203585007,0.659646129,0.79682216
1110004F10Rik,ENSMUSG00000030663,0.014179601,5.04900079,0.0091452,0.925344916,0.971732779,-0.090097701,5.04900079,0.366952165,0.555616219,0.722470837
1110007C09Rik,None,-0.125396675,6.791530954,0.991209106,0.338513057,0.647758701,-0.539513469,6.791530954,18.0327335,0.001060265,0.007085166
1110008F13Rik,None,0.287378873,4.494833952,3.716042614,0.077152051,0.292839459,0.050836592,4.494833952,0.115081658,0.740117805,0.851630371
1110008L16Rik,None,0.345075446,1.98209008,1.950623351,0.187060122,0.484132377,-0.144402106,1.98209008,0.329709201,0.576117274,0.737245559
1110008P14Rik,None,0.18644072,1.757912011,0.643745645,0.437492388,0.728646242,0.245275025,1.757912011,1.100455782,0.314218434,0.500992351
1110012L19Rik,None,0.221564252,1.987409656,0.652923554,0.43432509,0.726757322,-0.177698726,1.987409656,0.406384914,0.535424909,0.706306233
1110017D15Rik,ENSMUSG00000028441,-0.152986768,1.313701845,0.270132191,0.61241212,0.839372341,0.580314149,1.313701845,3.9138543,0.070583537,0.174907161
1110019D14Rik,ENSMUSG00000097616,-0.074029549,-0.434144377,0.011344454,0.916884339,0.96885511,-1.076712722,-0.434144377,2.063127176,0.17569138,0.336770719
1110032A03Rik,ENSMUSG00000037971,-0.163450132,1.798484568,0.243855975,0.630081611,0.849394512,-0.689703341,1.798484568,4.060728716,0.066140362,0.166883048
1110034G24Rik,None,0.216801812,0.804546629,0.372927207,0.552462098,0.806075795,-0.825967079,0.804546629,5.014971722,0.044208836,0.123783191
1110037F02Rik,None,0.072658327,6.945349603,0.819790752,0.382528115,0.688834838,0.367356723,6.945349603,20.88518561,0.000594868,0.004581558
1110038B12Rik,ENSMUSG00000092203,-0.352316218,5.491805947,8.966479145,0.010848983,0.083160283,0.118951461,5.491805947,1.026077822,0.330474469,0.519113023
1110038F14Rik,ENSMUSG00000063236,0.074632824,3.253044058,0.189071259,0.671175532,0.86736255,0.213377771,3.253044058,1.538193992,0.23788392,0.41573211
1110046J04Rik,ENSMUSG00000085457,0.753837317,-0.711163279,0.768671136,0.397325999,0.699003902,0.366355886,-0.711163279,0.171643554,0.685744969,0.814858021
1110051M20Rik,ENSMUSG00000040591,-0.123902445,1.542945094,0.175394945,0.682536983,0.872159394,-0.188274103,1.542945094,0.395931052,0.540638349,0.710412274
1110059E24Rik,ENSMUSG00000035171,0.039010045,3.064884131,0.052377501,0.822714576,0.92983345,0.169247083,3.064884131,0.9837041,0.34028021,0.529256021
1110059G10Rik,ENSMUSG00000032551,0.222067247,2.935216819,1.616963982,0.226890552,0.536815784,-0.06189224,2.935216819,0.123891492,0.730771749,0.845358155
1110065P20Rik,ENSMUSG00000078570,-0.148994748,0.48212427,0.25296405,0.623825719,0.846574875,-0.084194086,0.48212427,0.079340389,0.782847413,0.879349829
1190002N15Rik,None,0.015807929,4.977463302,0.016043755,0.901240834,0.964121714,-0.02689086,4.977463302,0.046144569,0.83341191,0.909983894
1190007I07Rik,ENSMUSG00000063320,0.473824629,-0.723356376,0.643219883,0.437674964,0.728646242,0.458541576,-0.723356376,0.591934476,0.456104045,0.638326172
1200014J11Rik,None,-0.022772314,5.635875191,0.041415823,0.842044909,0.938632876,0.078992842,5.635875191,0.496257989,0.494191085,0.671090079
1300002E11Rik,ENSMUSG00000097290,0.359493651,0.961221375,0.777986117,0.394564774,0.696958987,-0.545595144,0.961221375,1.682256258,0.218281658,0.392583005
1500004A13Rik,ENSMUSG00000098912,-0.086238974,1.224448547,0.072441765,0.792248471,0.919106831,-0.755089869,1.224448547,5.211037814,0.040851799,0.11643003
1500011B03Rik,ENSMUSG00000072694,0.034441161,2.571134548,0.014831668,0.905023983,0.964957464,-0.828035324,2.571134548,8.053840565,0.014563614,0.053108887
1500011K16Rik,None,0.865589492,0.031707391,1.717165263,0.213854519,0.520096766,-0.270984465,0.031707391,0.150225758,0.704902614,0.827947408
1500012F01Rik,None,-0.1221247,4.617281126,1.037191764,0.327970075,0.638460656,0.690236049,4.617281126,33.09261593,8.09E-05,0.001021113
1500015A07Rik,ENSMUSG00000098702,-0.49038033,1.508441578,2.950606344,0.110739477,0.359273258,0.068108133,1.508441578,0.057404472,0.814568134,0.899443149
1500015O10Rik,None,-0.406057943,3.864355717,1.02859715,0.329904366,0.640317678,0.104398916,3.864355717,0.068694171,0.797558806,0.888409882
1600002H07Rik,None,-0.107284894,2.495614456,0.254673845,0.622667305,0.845555218,-0.233762529,2.495614456,1.180283004,0.298003664,0.48414514
1600002K03Rik,None,0.315467568,1.018254601,1.214385687,0.291432773,0.606428727,-0.588456037,1.018254601,3.953990804,0.069334491,0.172694902
1600010M07Rik,ENSMUSG00000101585,0.260279368,0.135846411,0.214844433,0.651041679,0.859349964,-1.082426687,0.135846411,3.241680784,0.096189379,0.218511132
1600012H06Rik,ENSMUSG00000050088,-0.119301152,5.806489206,1.974016669,0.184620188,0.480845809,0.089379731,5.806489206,1.106235878,0.313003142,0.499876846
1600014C10Rik,ENSMUSG00000054676,1.704780066,4.23403339,79.86213577,9.45E-07,9.67E-05,0.758779967,4.23403339,15.9951857,0.001661875,0.009993932
1600020E01Rik,ENSMUSG00000097048,-0.108829369,2.936520369,0.37581557,0.550949965,0.80485306,0.507639818,2.936520369,8.19663173,0.013893784,0.051354731
1700001J11Rik,ENSMUSG00000101963,-0.082210291,3.407191995,0.341268504,0.569592391,0.816993677,0.454213379,3.407191995,10.42929861,0.006968468,0.030346956
1700001K19Rik,ENSMUSG00000056508,-0.305402219,-0.752018983,0.213874213,0.651772093,0.859565501,-0.782473824,-0.752018983,1.229557787,0.28857406,0.474195435
1700001L05Rik,ENSMUSG00000075511,-0.161929099,2.608660859,1.076149538,0.31940287,0.630914266,-0.36433158,2.608660859,5.329335323,0.038973159,0.112175119
1700001P01Rik,ENSMUSG00000018543,-1.103304052,-0.699926824,3.49655033,0.085329122,0.310658678,-0.196584689,-0.699926824,0.116631507,0.738445116,0.850741023
1700003M02Rik,None,0.065234546,0.046164276,0.008219767,0.929211159,0.973024605,0.376746495,0.046164276,0.260645158,0.618659989,0.768357952
1700007J10Rik,ENSMUSG00000086330,0.255040993,0.37121968,0.321179994,0.5810313,0.82266057,-0.839812714,0.37121968,3.231327643,0.096665166,0.219246358
1700007K13Rik,ENSMUSG00000026831,0.758118262,-0.954932711,1.614000045,0.227291887,0.537160312,0.468274666,-0.954932711,0.572501056,0.463426427,0.64472672
1700008J07Rik,ENSMUSG00000101225,-0.329752922,-0.015526529,0.607540963,0.450362391,0.737136373,0.02620252,-0.015526529,0.003748603,0.952156919,0.978882477
1700010I14Rik,ENSMUSG00000023873,0.57016846,0.080656159,1.836335609,0.19959674,0.501845008,0.082667752,0.080656159,0.037257513,0.850072858,0.918616931
1700012D01Rik,ENSMUSG00000040195,-0.37070959,-1.249918719,0.292311629,0.598338173,0.833055857,-0.348652684,-1.249918719,0.247684092,0.62743459,0.774728497
1700016K19Rik,ENSMUSG00000053783,0.42491495,-1.238743223,0.163512843,0.692843007,0.878165894,1.027284019,-1.238743223,0.90301899,0.360160882,0.548004014
1700017B05Rik,ENSMUSG00000032300,0.471048474,7.891688515,12.95927118,0.00347923,0.038678499,-0.63832677,7.891688515,23.56233196,0.000362026,0.003171215
1700019G17Rik,None,0.399562221,0.408648547,0.725515243,0.410518598,0.709825514,-0.335306948,0.408648547,0.467871166,0.506573074,0.681399267
1700019L03Rik,None,-0.64307904,1.173977543,3.749508741,0.075990379,0.28971581,-0.621037802,1.173977543,3.453259608,0.08706411,0.203340888
1700020A23Rik,ENSMUSG00000027409,-0.414796318,-0.064638139,0.888901453,0.363814784,0.671178732,0.431155656,-0.064638139,0.986088846,0.339717242,0.529028021
1700020D05Rik,None,-0.633675086,0.543297321,3.834047248,0.073148886,0.282012265,0.15753624,0.543297321,0.241677365,0.631599746,0.777653845
1700020I14Rik,None,-0.137289864,5.793857905,3.012370519,0.107437574,0.353690233,-0.02082658,5.793857905,0.069138123,0.796921727,0.887972324
1700020L24Rik,ENSMUSG00000035085,0.425801553,-0.055857553,0.251935391,0.624525046,0.847024519,-0.096873149,-0.055857553,0.012615827,0.912370627,0.954202217
1700021F05Rik,None,-0.205035233,2.661396848,1.468606619,0.248193092,0.560225977,-0.243044012,2.661396848,2.029632152,0.178981306,0.34119712
1700021K19Rik,None,-0.003150078,4.857923061,0.000549576,0.981670586,0.993283139,-0.669244092,4.857923061,24.12848434,0.000327562,0.002951099
1700022I11Rik,ENSMUSG00000028451,0.105317595,-0.913066436,0.014051803,0.90754172,0.965507538,2.097418828,-0.913066436,6.030367094,0.029730188,0.091721391
1700025G04Rik,ENSMUSG00000032666,-0.098947503,3.251809864,0.2197189,0.647402365,0.857522115,-0.380812296,3.251809864,3.183684929,0.0988921,0.222966564
1700025N23Rik,ENSMUSG00000100121,1.051146011,0.793864909,2.782168762,0.120401662,0.375538517,-0.484408437,0.793864909,0.542116742,0.475280667,0.655262745
1700026D08Rik,None,-0.620216706,-1.258079669,0.815151894,0.38383591,0.690078878,-0.281365253,-1.258079669,0.162929766,0.693359933,0.820297961
1700028B04Rik,ENSMUSG00000099417,0.152318456,-0.45725648,0.077967247,0.784682289,0.916061825,-0.801929788,-0.45725648,1.995417945,0.18242371,0.345753802
1700028J19Rik,ENSMUSG00000038782,-0.398915742,0.330331427,0.692688936,0.421019746,0.717119378,0.352906827,0.330331427,0.549782409,0.472241593,0.652930019
1700028K03Rik,ENSMUSG00000089798,0.537609091,-0.191892706,1.095892809,0.315182547,0.627047216,0.35086844,-0.191892706,0.476715538,0.502656243,0.678592928
1700029J07Rik,ENSMUSG00000071103,0.078315699,-0.681715376,0.030168691,0.864916426,0.94957637,-0.280183851,-0.681715376,0.376958958,0.550353609,0.718245542
1700030C10Rik,ENSMUSG00000091071,0.342725022,0.197065158,0.259526294,0.619406368,0.843490167,0.216355561,0.197065158,0.101383506,0.755484322,0.86228395
1700030J22Rik,ENSMUSG00000031847,0.649299858,1.86295271,5.978051636,0.030322772,0.162882684,-0.24493035,1.86295271,0.81939388,0.382639737,0.569669746
1700030K09Rik,ENSMUSG00000052794,0.086246001,1.625037825,0.126073255,0.728515692,0.894624948,-0.384139492,1.625037825,2.391387969,0.147182159,0.297370539
1700034H15Rik,ENSMUSG00000055833,-0.660680418,0.824017465,3.922395838,0.070315464,0.275224,-0.680239127,0.824017465,4.031288063,0.067003317,0.1684175
1700037C18Rik,ENSMUSG00000005983,0.991970214,-0.469875781,1.551007451,0.23604822,0.546295904,-0.121915675,-0.469875781,0.021587054,0.885557059,0.939278618
1700037H04Rik,ENSMUSG00000027327,0.256278172,3.123872466,1.354391496,0.266455736,0.579524704,-0.764299376,3.123872466,11.43791421,0.005231074,0.02437201
1700048M11Rik,ENSMUSG00000085637,0.623115355,-0.819248001,0.708008947,0.416066654,0.713042462,-1.495332301,-0.819248001,3.148571636,0.100573678,0.225791982
1700049G17Rik,None,0.604015682,2.587421781,5.745403733,0.033133772,0.171093103,-0.53656554,2.587421781,4.339288872,0.058603536,0.152879357
1700052K11Rik,ENSMUSG00000099681,0.631410586,0.059432312,2.134123507,0.168969213,0.457676282,-0.624551817,0.059432312,1.939489557,0.188235946,0.354001408
1700061G19Rik,None,0.423592207,-0.457763725,0.652517353,0.434464483,0.726760882,0.590519828,-0.457763725,1.265043957,0.282037565,0.467146176
1700066M21Rik,ENSMUSG00000038323,0.424868996,2.767272991,5.065420719,0.04331458,0.203042332,-0.676418781,2.767272991,12.14798623,0.004309326,0.020985234
1700067K01Rik,ENSMUSG00000046408,-0.094627417,-0.734584263,0.016218113,0.900708751,0.964093187,-1.338247581,-0.734584263,2.693941958,0.125879021,0.265468724
1700071M16Rik,ENSMUSG00000090307,0.423463568,5.269373367,7.591607044,0.017008045,0.11192683,0.143585456,5.269373367,0.869178389,0.369012639,0.556619583
1700084C01Rik,None,-2.174855372,-1.291362914,5.713510361,0.03354278,0.172044289,-1.514489536,-1.291362914,2.91643767,0.112619845,0.244637759
1700084E18Rik,ENSMUSG00000100747,1.233382969,-1.292694228,2.81003948,0.118733005,0.372732432,0.166031665,-1.292694228,0.043491308,0.838195473,0.912427038
1700084J12Rik,ENSMUSG00000058101,-0.483883449,-0.377935839,1.053305925,0.32438704,0.636042266,-0.330190075,-0.377935839,0.492778974,0.495679462,0.672455223
1700086O06Rik,ENSMUSG00000097080,0.501154708,0.092449733,1.407188584,0.257795685,0.570766901,-0.003165085,0.092449733,5.51E-05,0.994197375,0.997014158
1700094D03Rik,ENSMUSG00000118506,-0.093326336,3.896688562,0.410667327,0.533316771,0.793508561,0.219405403,3.896688562,2.263894001,0.157504695,0.312154255
1700096K18Rik,ENSMUSG00000101856,-1.056618439,-1.139400848,2.411323215,0.14564592,0.419539883,-2.195757372,-1.139400848,8.210824792,0.013829205,0.05114239
1700101I11Rik,ENSMUSG00000097675,0.187486581,-0.67339655,0.114454944,0.740797785,0.898935207,0.687075868,-0.67339655,1.554828119,0.235504505,0.413234102
1700102P08Rik,ENSMUSG00000032611,-0.514891589,1.105026044,3.267229068,0.095027482,0.328669584,0.089269573,1.105026044,0.099447956,0.757746803,0.863264426
1700109H08Rik,ENSMUSG00000008307,-0.775885121,2.615642268,15.69845452,0.001779411,0.023781625,0.89616331,2.615642268,21.51634885,0.000527189,0.004188991
1700110C19Rik,ENSMUSG00000099384,0.008858598,0.085871515,0.000368706,0.984986271,0.994512101,-0.503594015,0.085871515,1.150051634,0.304002873,0.49072544
1700112E06Rik,None,-0.475260311,-0.497267239,0.357946779,0.560437864,0.811056652,-0.576320315,-0.497267239,0.502383028,0.491589813,0.668854132
1700113A16Rik,ENSMUSG00000096935,0.278403972,3.357266061,2.382919235,0.147840928,0.423096817,-0.593024594,3.357266061,10.40464083,0.007018748,0.030492866
1700120K04Rik,ENSMUSG00000099579,0.769475655,-1.099601264,0.689023749,0.422218627,0.717447445,0.863590205,-1.099601264,0.797407446,0.388901854,0.575926455
1700123I01Rik,None,-0.873763718,-1.348554279,1.118718895,0.310401118,0.623448772,0.934919863,-1.348554279,1.452049934,0.250733659,0.430908656
1700123O20Rik,ENSMUSG00000040822,0.11770556,4.952442105,1.470824238,0.247855433,0.559693634,0.328224266,4.952442105,11.39275482,0.005297113,0.024593015
1810010D01Rik,None,0.182620534,-0.760895944,0.12268698,0.73202693,0.896464296,-1.581374745,-0.760895944,7.263225718,0.019040581,0.064931775
1810010H24Rik,ENSMUSG00000078607,-0.596761535,-0.144927755,2.319240052,0.152915103,0.432156643,0.061311406,-0.144927755,0.024925278,0.877099869,0.934420778
1810011H11Rik,None,-0.128389153,2.513831773,0.398401665,0.539397498,0.797577692,-1.128560394,2.513831773,28.36558846,0.00016252,0.00175182
1810011O10Rik,None,1.132187759,4.847787519,84.2246321,7.08E-07,8.30E-05,-1.028672369,4.847787519,66.27840235,2.56E-06,7.86E-05
1810013L24Rik,ENSMUSG00000022507,-0.279362775,7.937109288,11.47187846,0.00518204,0.051016951,0.332307879,7.937109288,16.2459832,0.001569548,0.009553286
1810022K09Rik,None,0.136733594,1.286153943,0.29474159,0.596839039,0.831844768,0.656994349,1.286153943,6.796477904,0.022444773,0.073539757
1810026B05Rik,None,-0.106946315,4.938726914,0.454728027,0.512496547,0.779596203,0.06860987,4.938726914,0.186674818,0.673129978,0.806408912
1810026J23Rik,None,-0.041724416,5.837671297,0.178442792,0.679960478,0.871349775,-0.137956947,5.837671297,1.938070687,0.188386473,0.354201672
1810030O07Rik,ENSMUSG00000044148,0.274631106,4.930462547,9.184601242,0.010133828,0.079455949,-0.289205981,4.930462547,10.01510364,0.00787233,0.033412596
1810032O08Rik,None,-0.120067408,2.617087038,0.443807322,0.517515189,0.782650896,0.128841936,2.617087038,0.507426256,0.489466032,0.667290977
1810034E14Rik,ENSMUSG00000097101,0.267377082,0.15933988,0.196755081,0.665007551,0.865313181,-0.913968796,0.15933988,2.06777383,0.175241101,0.336082941
1810037I17Rik,ENSMUSG00000054091,0.023998294,3.890763805,0.021663216,0.885356918,0.959098186,0.127620547,3.890763805,0.609662695,0.449591064,0.632743289
1810041L15Rik,None,0.029410119,0.507025903,0.004959788,0.94497991,0.97877006,0.227316212,0.507025903,0.277325424,0.607768238,0.760481709
1810043G02Rik,None,0.707880255,1.601327192,6.853485964,0.021992564,0.132529579,-0.26620512,1.601327192,0.931009483,0.353075246,0.540940592
1810043H04Rik,None,0.067749863,0.541586472,0.031313347,0.862405828,0.94843769,-0.3281738,0.541586472,0.697492245,0.419456768,0.605451744
1810055G02Rik,ENSMUSG00000035372,-0.590885428,3.797964933,23.19623628,0.00038656,0.007928033,-0.097923733,3.797964933,0.642220061,0.438022503,0.622641718
1810058I24Rik,ENSMUSG00000073155,0.164958011,4.479156581,1.579636929,0.232014136,0.542267224,-0.198756062,4.479156581,2.264983568,0.157412677,0.312014413
2010005H15Rik,None,-0.984306263,2.414763873,1.048355106,0.325481878,0.637096286,1.290981666,2.414763873,1.926360505,0.189634738,0.35566603
2010012O05Rik,None,0.345774226,2.901388748,5.390421676,0.038043396,0.187121262,-0.023071257,2.901388748,0.023508664,0.880613116,0.936106098
2010107E04Rik,None,0.043739716,4.348810911,0.132564786,0.721931408,0.890799259,0.023024617,4.348810911,0.036380246,0.851825218,0.919248321
2010111I01Rik,None,1.182525198,6.18945398,46.82654554,1.53E-05,0.000757257,-0.050836722,6.18945398,0.087058672,0.772841167,0.872845313
2010300C02Rik,None,-0.026747347,-0.144097607,0.001418065,0.970561566,0.989669673,0.749684132,-0.144097607,0.946217296,0.349311273,0.537041152
2010310C07Rik,ENSMUSG00000101268,0.830485012,-1.481830081,0.909518206,0.358497031,0.666544541,0.703851267,-1.481830081,0.621256888,0.445414402,0.628895625
2010315B03Rik,ENSMUSG00000074829,-0.118279737,2.691482582,0.323167004,0.579878752,0.821994241,-0.204409316,2.691482582,0.964863505,0.344776013,0.533282417
2010320M18Rik,ENSMUSG00000100691,0.24505876,0.680123831,0.742487657,0.405249868,0.705344361,-0.157352765,0.680123831,0.29064451,0.599371404,0.754495408
2210013O21Rik,None,0.161223864,2.796109269,0.790825537,0.390806971,0.694873216,-0.137588417,2.796109269,0.565803642,0.465995926,0.647001505
2210015D19Rik,None,0.243624853,2.330431587,1.751988931,0.209554558,0.514718384,-0.510547919,2.330431587,7.345468112,0.01850584,0.063653389
2210016F16Rik,ENSMUSG00000021550,0.143948422,4.325508938,1.258610482,0.283207323,0.597174839,-0.523200265,4.325508938,16.1638986,0.001599092,0.009682056
2210016L21Rik,ENSMUSG00000029559,-0.08683266,3.565489039,0.32228451,0.580390048,0.822238083,0.019020486,3.565489039,0.015304899,0.90352889,0.949754396
2210018M11Rik,None,0.344469502,5.51012104,18.99386009,0.000867255,0.014249439,-0.005997231,5.51012104,0.005712417,0.940960743,0.972682674
2210404O09Rik,None,0.181905252,1.841536565,0.421479687,0.52806323,0.789651113,-0.519025299,1.841536565,3.260817584,0.095317447,0.21719662
2210408F21Rik,ENSMUSG00000087380,0.466189375,1.754230171,2.963924071,0.110017066,0.357876166,-0.208723567,1.754230171,0.570352728,0.464248032,0.645437483
2210408I21Rik,ENSMUSG00000071252,0.42286952,1.071451358,3.04101046,0.105947625,0.350690737,0.296030069,1.071451358,1.459592862,0.249571914,0.429318017
2300009A05Rik,ENSMUSG00000032403,0.801352552,-0.197252948,2.299567232,0.154526907,0.435060836,0.390663243,-0.197252948,0.508587271,0.488979391,0.667002751
2310001H17Rik,ENSMUSG00000097354,0.195554902,0.215091043,0.227653161,0.641583659,0.853948786,1.829922581,0.215091043,20.34540614,0.000660879,0.004963758
2310009A05Rik,None,0.078180379,0.731481909,0.064526299,0.803650758,0.923018267,-0.392173231,0.731481909,1.554336612,0.235574357,0.413256935
2310009B15Rik,ENSMUSG00000079283,0.324031732,-1.025271695,0.361198473,0.558687294,0.810087472,0.119239808,-1.025271695,0.045878996,0.833884103,0.910323479
2310010J17Rik,ENSMUSG00000097162,0.709194562,-0.892375491,1.386212029,0.261190032,0.574231063,0.440085078,-0.892375491,0.512886088,0.487184901,0.665670877
2310011J03Rik,ENSMUSG00000020133,-0.190960363,5.134301521,3.660921443,0.079112696,0.297368654,-0.170970287,5.134301521,2.91549326,0.112672374,0.244715308
2310015A10Rik,ENSMUSG00000097729,0.203793133,1.785762004,0.624048951,0.444418135,0.732685272,0.017368549,1.785762004,0.00444381,0.947915582,0.976040255
2310022A10Rik,ENSMUSG00000049643,-0.479609755,5.070455048,18.54213899,0.000952362,0.0152179,-0.793968114,5.070455048,49.67154678,1.14E-05,0.000234531
2310022B05Rik,ENSMUSG00000031983,0.033085146,5.119421478,0.119886473,0.73497243,0.896692231,0.172006505,5.119421478,3.221532618,0.097117957,0.219967633
2310033P09Rik,ENSMUSG00000020441,0.194834321,2.679624866,1.511855596,0.241717375,0.551909245,-0.367063755,2.679624866,5.204451514,0.040959527,0.116604681
2310034O05Rik,ENSMUSG00000100157,-0.101287608,2.524699224,0.328255998,0.576948438,0.820399691,-0.2907212,2.524699224,2.642557797,0.129211822,0.270418696
2310035C23Rik,None,0.094634935,5.317088516,1.159832524,0.302043558,0.616387638,0.318351416,5.317088516,13.06026843,0.003389576,0.017354865
2310036O22Rik,None,-0.186985196,5.779557944,4.599342464,0.052480816,0.229509371,0.113454368,5.779557944,1.692411124,0.216981531,0.391061717
2310039H08Rik,ENSMUSG00000062619,-0.245674594,0.524519666,0.248655765,0.626766821,0.847934219,-0.547743683,0.524519666,1.189420422,0.296222993,0.482232333
2310045N01Rik,None,0.431636689,3.574263067,7.660994953,0.016611927,0.110131205,-0.407510686,3.574263067,6.600150926,0.024088427,0.077837736
2310047M10Rik,None,-0.267992903,4.070813063,5.688713756,0.033864923,0.173146923,-0.040530207,4.070813063,0.129524267,0.724991966,0.841618089
2310057M21Rik,ENSMUSG00000040177,-0.372932234,3.832562009,7.28612125,0.018889905,0.12026187,0.196403146,3.832562009,2.026619031,0.179281108,0.34160659
2310061I04Rik,ENSMUSG00000050705,-0.120233043,3.751729749,1.032084929,0.329117441,0.639628002,-0.347900011,3.751729749,8.464594853,0.012732013,0.04807484
2310067B10Rik,None,0.330188745,3.957809364,4.68664148,0.050599405,0.224045662,-0.672348909,3.957809364,18.64899216,0.000931383,0.006400395
